data_type,data_shared,data_collected
Academic and Professional Data,0,1
Access Files,0,1
Access Logs,0,1
Access Storage,0,1
Access Through Another Company,1,0
Access times),0,1
Access to Photo Library,0,1
Accessory Names,0,1
Account Details,0,1
Account Information,1,5
Account Information (Email Address,0,1
Account Information (email address,0,1
Account Login,0,1
Account Maintenance.,1,0
Account Management Data,0,1
Account State Information,0,1
Account and Profile Information,0,1
Account creation details,0,1
Account credentials,0,1
Account details,1,1
Account or Email Log-in Credentials,0,1
Activity Data (login times,0,1
Activity Information,0,1
Activity Logs,0,1
Activity data,0,1
Activity data (offers,0,1
Ad ID,0,1
Ad campaign details,0,1
Ad engagement data,0,1
AdColony,1,0
AdMob,1,0
Additional Information (First Name,0,1
Additional Information (name,0,1
Additional Information from Social Networking Sites [User name,0,1
Additional Information from other sources,0,1
Additional Personal Details,0,1
Additional function details (location information,1,1
Address,1,8
Addresses,0,1
Admob (Google),1,0
Ads Data,0,1
Ads data,1,0
Ads remarketing,1,0
Advertisements data (Google AdMob).,0,1
Advertising ID,0,2
Advertising Number,0,1
Advertising and Analytics.,1,0
Advertising identifiers,0,1
Advertising optimization data.,0,1
Affiliates,2,0
Affiliates information,1,0
Age,1,6
Aggregate Information,0,1
Aggregate Web Traffic Routing Data.,0,1
Aggregated Demographic Information,1,0
Aggregated Information.,1,0
Aggregated User Account Data,0,1
Akamai,1,0
Analytic Data,0,1
Analytical Information),0,1
Analytics,1,0
Analytics Cookies,0,1
Analytics Cookies Usage Data,0,1
Analytics Data,1,0
Analytics Data (Usage Activity,0,1
Analytics and research data,0,1
Analytics data,1,1
Anonymized Aggregated Data,1,0
Anonymous,1,0
Anonymous Data,0,1
Anonymous Information,1,0
Anonymous Statistics Related to Product Use.,0,1
Anonymous Technical Data (Error Reports,0,1
Anonymous User-Interaction Statistics),0,1
Anonymous data for advertisements.,1,0
Anonymous information for advertising purposes,0,1
Anti-Money Laundering Information,1,0
Any other necessary data for company's services,0,1
App Configuration,0,11
App Data [Period of usage,0,1
App Experience Optimization Data,1,0
App Settings.,0,1
App Usage,0,2
App Usage Data,0,1
App Usage Data.,1,0
App Usage Details,0,1
App Usage History,0,1
App Usage Information),0,1
App Usage Information.,0,1
App Version,0,2
App crash logs,1,0
App usage data,1,1
App usage duration,0,1
App usage frequency,0,1
App usage statistics),0,1
App versions,0,1
App's Configuration,0,1
Appearance Description,0,1
Application Specific Data,0,1
Application Version,0,2
Applovin,1,0
AppsFlyer Ltd.,0,1
Asset Protection Information,1,0
Assistant,0,1
Audience Measurement services from Nielsen and Quantcast,0,1
Audio,0,1
Audio and Visual Data,0,1
Authentication for Cloud Accounts,0,1
Automated Information (Device Type,0,1
Automated data generation.,0,1
Automatic Information (through cookies),0,1
Automatically Generated Data,0,1
Autopilot Analytics & Improvements,1,1
Bank Account Information,0,1
Basic Personal Information (Phone Number,0,1
Basic Profile Details and Preferences,0,1
Behavior Data,0,1
Behavior Data (page views,0,1
Behavioral Data (Pages Visited,0,1
Billing Address,0,2
Billing Details,0,1
Billing and Shipping Address,0,1
Billing information],0,1
Biometric Identifiers or Biometric Information.,0,1
Birth Date,0,2
Birthdate,0,1
Birthdate or Age,0,1
Birthday,0,1
Bluetooth,1,1
Bluetooth),0,1
Book Rating Data,0,1
Browser Details,0,1
Browser Information.,0,1
Browser Type,0,5
Browser information,0,1
Browser type,0,1
Browser-specific data,0,1
Browsing Behaviors,0,1
Browsing Data,0,1
Browsing Habits),0,1
Business Partners,1,0
Business Partners Information,1,0
Business advisors,1,0
Business development data,0,1
CCTV Footage,0,1
Calendar Events,0,1
Calendar Items,1,1
