Data Type,Apps
Name,"Sketchbook, Infinite Painter, PaperColor, Infinite Design, Adobe Express: Graphic Design, Meme Generator Meme Maker, Pixel Studio: pixel art editor, Ai Anime Face Changer, Mockup Creator, T-shirt Design, Mi Pedido Arabela, Haircuts Men 2023, Ulta Beauty: Makeup & Skincare, LuLuApp, Google Play Books & Audiobooks, Librera Reader: for PDF, EPUB, Moon+ Reader, WebNovel, How to Draw XXXTentacion, Docx Reader PDF Viewer Word, Vault - Hide Pics, App Lock, Recargas tu Cell, WipRecargas, EverConnect, Resume Builder App, CV maker, Side - flex jobs & temp work, tellows - Caller ID & Block, UC Browser-Safe, Fast, Private, Telegram, Puffin Cloud Browser, UC Mini-Download Video Status , Bang Browser-All Video downloa, QQ, Messenger Kids – The Messaging, WAMR: Undelete messages!, Getcontact, Once: Perfect Match and Dates, eharmony dating & real love, Mobifriends: Date, meet people, ColombianCupid Colombia Dating, MexicanCupid: Mexican Dating, Fotka - dating, chat and flirt, SURE - Smart Home and TV Unive, tinyCam Monitor, Home Security Camera WardenCam, Vivitar Smart Home Security, ActiveBuilding, AQ STAR, MySmartE, Google Home, Pets4Homes, Icedrive #Secure Cloud Storage, TeraBox: Cloud Storage Space, ASTRO File Manager & Cleaner, Cx File Explorer, Proton Drive: Cloud Storage, Amaze File Manager, File Manager File Explorer, File Manager - File Explorer, EX File Manager :File Explorer, ESuper File Explorer, File Manager, RAR, Video Editor & Maker - InShot, Photoshop Express Photo Editor, ToonMe - cartoons from photos, Photo Editor Pro - Polish, Photo Editor, PixelLab - Text on pictures, NewProfilePic: Profile Picture, Cymera - Photo Editor Collage, Retrica, Film Maker Pro - Movie Maker, Microsoft 365 (Office), Mobizen Screen Recorder, File Manager, Adobe Acrobat Reader: Edit PDF, Apps Manager - Your Play Store, TeamViewer QuickSupport, WiFi Passwords Map Instabridge, RecargaMarcas TAE, ColorNote Notepad Notes, PromoDescuentos: ofertas, Fetch: Have Fun, Save Money, eBay: Online Shopping Deals, AppsFree, Shopee PH: Shop this 12.12, hotukdeals - Deals & Discounts, Text Free: Call & Texting App, textPlus: Text Message + Call, HOLLA - Live Random Video Chat, Jack’d - Gay Chat & Dating, noteit widget - by sendit, REALITY-Become an Anime Avatar, Cx File Explorer, RAR, fitpro, BBC Weather, WBKO First Alert Weather, Doppler 9&10 Weather Team, myCuaca, WSFA First Alert Weather"
Address,"Sketchbook, Infinite Painter, PaperColor, How to Draw Anime Eyes, Infinite Design, Adobe Express: Graphic Design, Meme Generator Meme Maker, Ai Anime Face Changer, Maskot - Gaming Logo Maker, Mockup Creator, T-shirt Design, Spiral Photo & Video Editor, Ulta Beauty: Makeup & Skincare, LuLuApp, Long Nail Designs, Google Play Books & Audiobooks, Librera Reader: for PDF, EPUB, Moon+ Reader, WebNovel, How to Draw XXXTentacion, Docx Reader PDF Viewer Word, Vault - Hide Pics, App Lock, Recargas tu Cell, WipRecargas, Resume Builder App, CV maker, Side - flex jobs & temp work, Google Chrome: Fast & Secure, tellows - Caller ID & Block, Talkatone: Texting & Calling, UC Browser-Safe, Fast, Private, Brave Private Web Browser, VPN, Psiphon Pro, Telegram, Puffin Cloud Browser, UC Mini-Download Video Status , LINE: Calls & Messages, Bang Browser-All Video downloa, WAMR: Undelete messages!, Getcontact, eharmony dating & real love, ColombianCupid Colombia Dating, Fotka - dating, chat and flirt, SURE - Smart Home and TV Unive, tinyCam Monitor, PRIME Wire and Cable, Inc., Vivitar Smart Home Security, AQ STAR, Remote Control for Roku TV, MySmartE, Pinterest, Google Home, myChevrolet, Pets4Homes, Bagan - Myanmar Keyboard, The Badass App, Degoo: 20 GB Cloud Storage, File Manager, pCloud: Cloud Storage, ASTRO File Manager & Cleaner, Cx File Explorer, Solid Explorer File Manager, Proton Drive: Cloud Storage, AnExplorer TV File Manager, Amaze File Manager, File Manager File Explorer, File Manager - File Explorer, EX File Manager :File Explorer, ESuper File Explorer, Lightroom Photo & Video Editor, Photoshop Express Photo Editor, ToonMe - cartoons from photos, Photo Editor Pro - Polish, A+ Gallery - Photos & Videos, PixelLab - Text on pictures, Background Eraser, NewProfilePic: Profile Picture, Retrica, Film Maker Pro - Movie Maker, Mobizen Screen Recorder, WhatTheFont, Apps Manager - Your Play Store, WPS Office-PDF,Word,Sheet,PPT, TeamViewer QuickSupport, WiFi Passwords Map Instabridge, ColorNote Notepad Notes, PromoDescuentos: ofertas, Fetch: Have Fun, Save Money, eBay: Online Shopping Deals, AppsFree, Kimovil, Mercari: Your Marketplace, Shopee PH: Shop this 12.12, hotukdeals - Deals & Discounts, Kijiji: Buy and sell local, Plenty of Fish Dating App, Text Free: Call & Texting App, pixiv, textPlus: Text Message + Call, HOLLA - Live Random Video Chat, NGL: anonymous q&a, noteit widget - by sendit, REALITY-Become an Anime Avatar, GeForce NOW Cloud Gaming, Namso Gen, 1Weather: Forecast & Radar, WBKO First Alert Weather, Doppler 9&10 Weather Team, myCuaca, WSFA First Alert Weather, Weather & Clock Widget"
Email address,"PaperColor, Adobe Express: Graphic Design, Ulta Beauty: Makeup & Skincare, LuLuApp, Google Play Books & Audiobooks, WebNovel, Talkatone: Texting & Calling, UC Browser-Safe, Fast, Private, Telegram, UC Mini-Download Video Status , LINE: Calls & Messages, Bang Browser-All Video downloa, eharmony dating & real love, Fotka - dating, chat and flirt, PRIME Wire and Cable, Inc., AQ STAR, MySmartE, Pinterest, Google Home, Degoo: 20 GB Cloud Storage, File Manager, ASTRO File Manager & Cleaner, Proton Drive: Cloud Storage, File Manager File Explorer, Photo Editor Pro - Polish, PixelLab - Text on pictures, Background Eraser, NewProfilePic: Profile Picture, Retrica, Film Maker Pro - Movie Maker, WPS Office-PDF,Word,Sheet,PPT, TeamViewer QuickSupport, WiFi Passwords Map Instabridge, ColorNote Notepad Notes, PromoDescuentos: ofertas, Fetch: Have Fun, Save Money, eBay: Online Shopping Deals, Kimovil, Shopee PH: Shop this 12.12, hotukdeals - Deals & Discounts, Kijiji: Buy and sell local, Plenty of Fish Dating App, pixiv, HOLLA - Live Random Video Chat, noteit widget - by sendit, GeForce NOW Cloud Gaming, WBKO First Alert Weather, Doppler 9&10 Weather Team, WSFA First Alert Weather"
Photos,"Bazaart Photo Editor & Design, Microsoft Teams, Intune Company Portal, Microsoft Authenticator, Google Chrome: Fast & Secure, Telegram, Messenger Kids – The Messaging, eharmony dating & real love, buzzArab Arab & Muslim Dating, Microsoft OneDrive, Lightroom Photo & Video Editor, Open Camera, ToonMe - cartoons from photos, A+ Gallery - Photos & Videos, NewProfilePic: Profile Picture, Microsoft Word: Edit Documents, Microsoft 365 (Office), Microsoft PowerPoint, Microsoft Excel: Spreadsheets, Microsoft Outlook, Microsoft SwiftKey AI Keyboard, Microsoft OneDrive, Text Free: Call & Texting App, noteit widget - by sendit, Cx File Explorer"
Phone number,"Mi Pedido Arabela, Ulta Beauty: Makeup & Skincare, LuLuApp, Google Play Books & Audiobooks, WebNovel, Vault - Hide Pics, App Lock, Recargas tu Cell, WipRecargas, tellows - Caller ID & Block, Telegram, LINE: Calls & Messages, Getcontact, ColombianCupid Colombia Dating, Fotka - dating, chat and flirt, PRIME Wire and Cable, Inc., AQ STAR, Pets4Homes, TeraBox: Cloud Storage Space, File Manager, Film Maker Pro - Movie Maker, PromoDescuentos: ofertas, Fetch: Have Fun, Save Money, Plenty of Fish Dating App, Text Free: Call & Texting App, HOLLA - Live Random Video Chat, noteit widget - by sendit, REALITY-Become an Anime Avatar, GeForce NOW Cloud Gaming, WBKO First Alert Weather, WSFA First Alert Weather"
Purchase history,"Beauty Makeup Editor & Camera, pCloud: Cloud Storage, Cymera - Photo Editor Collage"
Diagnostics,ReadEra – book reader pdf epub
Videos,"Microsoft Teams, Intune Company Portal, Microsoft Authenticator, Google Chrome: Fast & Secure, Telegram, Messenger Kids – The Messaging, buzzArab Arab & Muslim Dating, Spdate - meet singles nearby o, Open Camera, Microsoft Word: Edit Documents, Microsoft 365 (Office), Microsoft PowerPoint, Microsoft Excel: Spreadsheets, Microsoft Outlook, Microsoft OneDrive, Plenty of Fish Dating App"
Contacts,"Microsoft Teams, Intune Company Portal, Microsoft Authenticator, LinkedIn: Jobs & Business News, Google Chrome: Fast & Secure, Telegram, Skype, LINE: Calls & Messages, Fotka - dating, chat and flirt, Vivitar Smart Home Security, Microsoft OneDrive, Microsoft Word: Edit Documents, Microsoft 365 (Office), Microsoft PowerPoint, Microsoft Excel: Spreadsheets, Microsoft Outlook, Microsoft SwiftKey AI Keyboard, Microsoft OneDrive, ColorNote Notepad Notes, Text Free: Call & Texting App, textPlus: Text Message + Call, noteit widget - by sendit"
Emails,"Intune Company Portal, Microsoft Authenticator, Psiphon Pro, Skype, Microsoft Word: Edit Documents, Microsoft Outlook, SmartCanucks - Flyers, Deals &, Text Free: Call & Texting App, pixiv"
