Data Shared,Count
,75
Personal Information,37
Personal Data,26
User Information,7
None,5
Not specified,4
service providers,4
Personal data,3
Not Specified,3
business partners,2
Affiliates,2
Google Analytics,2
Email Address,2
Non-Personal Information,2
User's Personal Data,2
Personal information,2
Firebase,2
Device Information,2
Contact Information,2
Service Providers,2
Location Data,2
Name,2
Contacts,2
Information with Third-Party Service Providers,2
Email,2
Information with service providers,2
Information with business partners,2
User Data,2
Transaction Data,2
Usage Data,1
Information with Third-Party Applications and Users,1
Information shared with user consent,1
Personal Information (with third-party service providers),1
Service Information,1
With Third Parties.,1
With Affiliates,1
Anonymous data for advertisements.,1
Device Model for Google Reviews,1
Personal Data with Google Inc.,1
For Legal Requirements,1
With Consent,1
Data with trusted third-party companies,1
Data with third-party applications (with user consent),1
Legal Circumstances,1
Not Disclosed to Third Parties Unless Consent is Given,1
Information shared to protect company's rights,1
Information shared for legal compliance,1
Personal Assistance Data,1
Information related to company's business transactions,1
Hardware and Software Data,1
Public User Data (Names,1
App Experience Optimization Data,1
Network and Services Improvement Information,1
Personalised Recommendations,1
Third-Party Service Providers,1
Interests),1
User Data with Subsidiaries,1
Information with Third Party Advertising Networks (anonymized),1
Company Restructuring Information,1
Files Stored on Device,1
Contact Details),1
Transaction Details,1
Gender,1
Age,1
Personal Information (Name,1
Legal requirements,1
User information (specifics not given),1
Service usage analysis data.,1
Data from Cloud Services,1
property,1
User Data for legal purposes,1
User Data with third parties,1
transferred to other countries),1
Personal Information (under legal or public interest circumstances,1
Crash Reports,1
during Business Transfer,1
to Government or Law Enforcement Officials,1
Information with Advertisers,1
Information with Third-party Service Providers,1
Information with Affiliates,1
Data potentially shared with Third-Party Companies and Individuals,1
No data shared,1
User Personal Information (In Case of Mergers and Acquisitions),1
Legal Obligations,1
Information at the Event of a Business Transfer,1
Information with Law Enforcement Authorities,1
Information with Related Companies,1
Personal Information (with third parties under certain circumstances),1
Card details with user's consent.,1
User data for legal compliance,1
Information with third parties,1
Affiliates information,1
Subsidiaries information,1
Personal Information (when legally required or aligns with usage purposes),1
Online Activity Data,1
Sensory Data,1
Mobile Advertising ID,1
and Consented data.,1
Payment details via third-party payment processors,1
or safety,1
Data for usage statistics.,1
Data necessary for protecting rights,1
Data for third-party service providers,1
Contractor-related data,1
Subsidiary-required data,1
Legal circumstance-related data,1
IP Address,1
Inference Data,1
App Usage Data.,1
Survey Responses),1
Location,1
Device Details,1
User Data (Name,1
Flurry Analytics by Yahoo,1
Facebook,1
Admob (Google),1
Third-Party Data Sharing,1
Data for law enforcement requests,1
De-identified Information,1
