app_id,app_name,category_name,data_collected
1,Sketchbook,Art & Design,"Contact Information, App Usage, Responses to Surveys, Communication Requests, Email, Name, IP Address, Feedback, Country of Residence, Occupational Details, Cookies and Similar Technologies."
2,Infinite Painter,Art & Design,"Specific Personal Identifiable Information, User's Data (Google Play Services, Google Analytics for Firebase, and Firebase Crashlytics), Log Data (IP address, Device Name, OS Version, App Configuration, Service Usage Time and Date, Various Stats), Cookies (third-party code and libraries)"
3,PaperColor,Art & Design,"Non-Personal Data (Application Properties, Use Context, Privacy Settings, Technical Details [SDK/API/JS Code Version, IP Address]), Personal Information [Facebook ID, Name, Gender, Location, Friends’ ID, Gaming Preferences], Additional Information from Social Networking Sites [User name, profile picture, gender, User ID, Email address, Location, Language, Time Zone, Links to Organizations or Friends]"
4,Easy Pose - 3D pose making app,Art & Design,
5,Bazaart Photo Editor & Design,Art & Design,"Personal Information (through Google, Meta, or Apple's identity methods), Usage Information."
6,How to Draw Anime Eyes,Art & Design,"Device Type, Unique Device ID, IP Address, Mobile OS, Internet Browser Type, App Usage Information."
7,Infinite Design,Art & Design,"Personal Information, Log Data (IP address, device name, operating system version, app configuration, usage time, other statistics), Cookies or similar data files by third-party code and libraries."
8,Clip Studio Paint,Art & Design,"Personal Information, Site visit history (via cookies)"
9,Adobe Express: Graphic Design,Art & Design,
10,ArtFlow: Paint Draw Sketchbook,Art & Design,
11,Meme Generator Meme Maker,Entertainment,
12,Pixel Studio: pixel art editor,Art & Design,"App usage data, User name, Email, Game-related information, Ad ID, Device ID, Location."
13,Krita,Art & Design,Website Usage (via Cookies)
14,Ai Anime Face Changer,Art & Design,"Personal Data, User Identification Information, Log Data (including Device's IP Address, Device Name, Operating System Version, App Configuration, Usage Date and Time)"
15,Maskot - Gaming Logo Maker,Art & Design,"Type of mobile device, Unique device ID, IP address, Mobile operating system, Type of internet browser, Usage pattern of apps and games, App usage frequency, App usage duration, Ad engagement data"
16,"Mockup Creator, T-shirt Design",Art & Design,"Personal Information (anonymity-based), Log Data (device IP address, device name, OS version, app configuration, service usage time and date, other relevant statistics)"
17,Mi Pedido Arabela,Beauty,"User's Name, Email, Phone Number."
18,Easy fun hairstyles for girls,Beauty,"Personally Identifiable Information (requested but not directly collected by the app), User Identifiable Information (through third-party services and cookies)"
19,Beauty Makeup Editor & Camera,Beauty,"Photographs, App Usage History, Purchase History, Social Media Information, Device Data, Online Activity Data"
